,Function-name,Function-Descriptions
12,random.uniform,Return a random floating point number N such that a <= N <= b for a <= b and b <= N <= a for b < a. The end-point value b may or may not be included in the range depending on floating-point rounding in the equation a + (b-a) * random(). 
13,random.triangular,"Return a random floating point number N such that low <= N <= high and with the specified mode between those bounds.  The low and high bounds default to zero and one.  The mode argument defaults to the midpoint between the bounds, giving a symmetric distribution. "
14,random.betavariate,Beta distribution.  Conditions on the parameters are alpha > 0 and beta > 0. Returned values range between 0 and 1. 
15,random.expovariate,"Exponential distribution.  lambd is 1.0 divided by the desired mean.  It should be nonzero.  (The parameter would be called “lambda”, but that is a reserved word in Python.)  Returned values range from 0 to positive infinity if lambd is positive, and from negative infinity to 0 if lambd is negative. "
16,random.gammavariate,Gamma distribution.  (Not the gamma function!)  Conditions on the parameters are alpha > 0 and beta > 0. The probability distribution function is:           x ** (alpha - 1) * math.exp(-x / beta) pdf(x) =  --------------------------------------             math.gamma(alpha) * beta ** alpha   
17,random.gauss,"Gaussian distribution.  mu is the mean, and sigma is the standard deviation.  This is slightly faster than the normalvariate() function defined below. Multithreading note:  When two threads call this function simultaneously, it is possible that they will receive the same return value.  This can be avoided in three ways. 1) Have each thread use a different instance of the random number generator. 2) Put locks around all calls. 3) Use the slower, but thread-safe normalvariate() function instead. "
18,random.lognormvariate,"Log normal distribution.  If you take the natural logarithm of this distribution, you’ll get a normal distribution with mean mu and standard deviation sigma.  mu can have any value, and sigma must be greater than zero. "
19,random.normalvariate,"Normal distribution.  mu is the mean, and sigma is the standard deviation. "
20,random.vonmisesvariate,"mu is the mean angle, expressed in radians between 0 and 2*pi, and kappa is the concentration parameter, which must be greater than or equal to zero.  If kappa is equal to zero, this distribution reduces to a uniform random angle over the range 0 to 2*pi. "
21,random.paretovariate,Pareto distribution.  alpha is the shape parameter. 
22,random.weibullvariate,Weibull distribution.  alpha is the scale parameter and beta is the shape parameter. 
23,random.Random,"Class that implements the default pseudo-random number generator used by the random module.  Deprecated since version 3.9: In the future, the seed must be one of the following types: NoneType, int, float, str, bytes, or bytearray.  "
24,random.SystemRandom,"Class that uses the os.urandom() function for generating random numbers from sources provided by the operating system. Not available on all systems. Does not rely on software state, and sequences are not reproducible. Accordingly, the seed() method has no effect and is ignored. The getstate() and setstate() methods raise NotImplementedError if called. "
